State,Homicide Offenses,Total Offenses,Population Covered
Alabama,2.889280150942068,605.3850277275071,85507.17925427764
Arizona,23.589777285612428,4573.263549050498,498961.3401941197
Arkansas,261.24533348582196,59825.680738503914,2911852.720846451
Colorado,264.8319193230316,65777.89537472035,5972772.353220559
Connecticut,51.36906393475728,24511.972900822097,3238801.8447524286
Delaware,63.30135594840329,16778.069765809665,975327.9044538924
District of Columbia,0.0,1156.7312653878644,0.0
Idaho,43.29713867742497,17687.972306160173,1773680.3368715327
Illinois,23.916483750498138,5911.015131234183,145613.0392196592
Indiana,45.13619455402758,8278.91301637305,607200.5373060707
Iowa,89.3880953949234,24554.44251629291,3095735.526141491
Kansas,104.24875124481477,36583.80161626265,2077991.326006844
Kentucky,334.4998653455124,50945.854582636945,4459304.574838386
Louisiana,62.91528449564567,16100.709300292505,954964.390736067
Maine,6.67517696825837,4714.236463765971,433396.38692995545
Maryland,26.999999843599998,6097.000013453536,1049984.0027912809
Massachusetts,84.9128328233941,59801.96030745173,5972812.944192481
Michigan,597.9070541666406,153092.64729545993,10032961.865214536
Minnesota,15.977009590449594,5765.256574670465,980189.9937848573
Mississippi,16.025685507405925,7045.800072269984,322168.3077279272
Missouri,173.08310721147225,23283.855465084445,1064097.922476561
Montana,41.52536024550385,13247.279650593517,1070113.319431097
Nebraska,11.828748027025666,9139.5035538776,979918.1657505987
New Hampshire,19.83087757822581,15952.30267302421,1343812.9297003
North Dakota,24.695370316557025,10506.291214664125,758856.4236880915
Ohio,607.2987660158898,143915.78615509352,9660908.597569086
Oklahoma,76.6166623711629,26748.984142835376,2181748.0474715303
Oregon,130.3312434481349,42124.6533461177,4474504.095521098
Pennsylvania,2.9982381381085914,1297.8886409480956,232469.19993376164
Rhode Island,21.94313784802578,10609.609279784298,1057740.029666252
South Carolina,443.58983011332526,96548.5236063105,5065087.404838597
South Dakota,28.034108776037236,12111.100680245065,853331.1056080614
Tennessee,582.4278357801956,147814.14289221217,6830564.21365421
Texas,441.5570635812745,112459.57791758419,8755612.635988973
Utah,72.27284764593537,30711.48651182164,2410827.226597258
Vermont,14.204311715703327,3430.7622120548776,625566.3795155162
Virginia,522.7072517732823,105201.31172468419,8562807.551067313
Washington,260.43252791142885,94588.65098684796,8221848.991436776
West Virginia,80.00604479608394,14259.233834540748,1537141.0887420452
Wisconsin,216.29391858208953,34829.95587726245,3480560.849996534
